idx,input_len,output_len,input_tokens,output_tokens,energy_kwh,carbon_kg
3104,82,18,42,5,0.000110,0.000000
3223,82,18,42,5,0.000112,0.000000
3270,82,18,42,5,0.000112,0.000000
3304,82,18,45,5,0.000052,0.000000
3197,90,18,44,5,0.000112,0.000000
3117,99,17,49,5,0.000048,0.000000
3377,99,17,49,5,0.000051,0.000000
3247,106,31,48,7,0.000057,0.000000
3099,111,51,52,13,0.000085,0.000000
3220,118,28,52,9,0.000112,0.000000
3406,118,12,54,4,0.000112,0.000000
3310,122,93,51,21,0.000112,0.000000
3179,123,78,51,21,0.000115,0.000000
3105,124,17,50,5,0.000048,0.000000
3230,124,29,56,8,0.000063,0.000000
3173,125,18,50,5,0.000049,0.000000
3275,125,18,50,5,0.000049,0.000000
3125,127,84,55,21,0.000111,0.000000
3089,129,21,52,6,0.000053,0.000000
3323,130,15,54,4,0.000113,0.000000
3348,130,30,55,7,0.000060,0.000000
3123,134,18,55,5,0.000111,0.000000
3130,134,18,55,5,0.000111,0.000000
3185,134,18,55,5,0.000114,0.000000
3215,134,18,55,5,0.000112,0.000000
3240,134,18,55,5,0.000112,0.000000
3242,134,18,55,5,0.000112,0.000000
3319,134,18,55,5,0.000113,0.000000
3347,134,18,55,5,0.000113,0.000000
3317,135,32,59,8,0.000066,0.000000
3357,136,74,54,17,0.000104,0.000000
3149,138,37,58,10,0.000071,0.000000
3171,138,12,54,4,0.000112,0.000000
3321,138,81,54,21,0.000113,0.000000
3079,139,37,56,10,0.000069,0.000000
3092,140,17,59,5,0.000050,0.000000
3210,140,34,55,9,0.000066,0.000000
3365,140,34,55,9,0.000066,0.000000
3163,141,12,62,3,0.000112,0.000000
3289,141,12,62,3,0.000113,0.000000
3327,141,12,62,3,0.000113,0.000000
3402,141,12,62,3,0.000113,0.000000
3277,142,13,62,4,0.000113,0.000000
3325,142,34,54,8,0.000063,0.000000
3369,143,12,64,3,0.000113,0.000000
3407,144,17,58,5,0.000115,0.000000
3128,145,17,57,4,0.000048,0.000000
3252,145,39,57,9,0.000069,0.000000
3234,149,38,63,10,0.000113,0.000000
3120,152,37,65,10,0.000071,0.000000
3121,154,18,58,5,0.000051,0.000000
3403,154,17,63,5,0.000113,0.000000
3188,156,51,61,13,0.000089,0.000000
3339,156,32,59,8,0.000066,0.000000
3114,157,33,58,9,0.000066,0.000000
3156,158,34,59,9,0.000068,0.000000
3358,159,45,59,11,0.000078,0.000000
3306,160,32,60,8,0.000066,0.000000
3222,162,37,62,10,0.000072,0.000000
3385,162,37,65,11,0.000070,0.000000
3082,163,27,60,6,0.000051,0.000000
3162,166,90,66,21,0.000115,0.000000
3203,166,34,62,9,0.000066,0.000000
3166,167,37,62,10,0.000071,0.000000
3263,167,27,62,6,0.000054,0.000000
3236,173,18,68,5,0.000052,0.000000
3404,175,33,67,9,0.000069,0.000000
3096,181,79,69,22,0.000111,0.000000
3387,181,34,68,9,0.000067,0.000000
3274,182,25,68,8,0.000114,0.000000
3413,182,39,66,9,0.000067,0.000000
3374,188,34,65,9,0.000067,0.000000
3254,189,17,73,5,0.000113,0.000000
3168,190,33,66,8,0.000066,0.000000
3400,190,30,64,7,0.000060,0.000000
3094,191,27,67,6,0.000054,0.000000
3103,192,21,71,6,0.000054,0.000000
3268,192,19,69,6,0.000113,0.000000
3309,192,18,69,5,0.000050,0.000000
3100,193,28,68,6,0.000054,0.000000
3186,193,30,67,7,0.000060,0.000000
3227,193,30,67,7,0.000058,0.000000
3371,193,37,69,10,0.000073,0.000000
3077,194,50,71,13,0.000082,0.000000
3307,194,18,67,5,0.000052,0.000000
3146,195,34,70,9,0.000067,0.000000
3231,195,34,70,9,0.000067,0.000000
3355,195,21,65,6,0.000055,0.000000
3256,196,34,66,9,0.000067,0.000000
3416,196,47,70,12,0.000114,0.000000
3080,197,37,68,10,0.000070,0.000000
3257,200,27,66,6,0.000055,0.000000
3258,200,60,70,14,0.000093,0.000000
3335,204,21,72,6,0.000056,0.000000
3093,205,18,69,5,0.000051,0.000000
3145,206,33,72,9,0.000067,0.000000
3239,206,39,74,9,0.000067,0.000000
3259,206,37,72,10,0.000073,0.000000
3350,206,37,69,10,0.000070,0.000000
3086,208,55,78,15,0.000090,0.000000
3101,208,12,79,4,0.000111,0.000000
3363,208,77,77,19,0.000114,0.000000
3164,210,37,78,10,0.000073,0.000000
3271,210,39,70,9,0.000067,0.000000
3292,210,37,72,10,0.000073,0.000000
3301,210,37,78,10,0.000072,0.000000
3391,210,39,74,9,0.000068,0.000000
3293,211,37,74,10,0.000073,0.000000
3376,211,18,72,5,0.000052,0.000000
3253,212,17,75,5,0.000053,0.000000
3362,212,80,72,22,0.000116,0.000000
3158,213,17,70,4,0.000049,0.000000
3233,215,78,75,21,0.000113,0.000000
3408,215,37,71,10,0.000073,0.000000
3107,216,33,71,9,0.000066,0.000000
3238,216,90,70,21,0.000113,0.000000
3078,217,92,75,21,0.000109,0.000000
3118,218,33,71,9,0.000066,0.000000
3368,218,54,73,15,0.000090,0.000000
3097,219,71,74,21,0.000111,0.000000
3135,219,30,70,7,0.000059,0.000000
3148,220,25,77,7,0.000113,0.000000
3208,220,34,70,9,0.000067,0.000000
3313,220,46,73,11,0.000078,0.000000
3182,221,37,74,10,0.000072,0.000000
3249,221,33,75,9,0.000070,0.000000
3340,222,45,76,15,0.000093,0.000000
3134,223,37,74,10,0.000072,0.000000
3191,223,25,72,8,0.000064,0.000000
3229,223,27,77,6,0.000056,0.000000
3386,224,83,76,22,0.000113,0.000000
3122,225,34,75,9,0.000067,0.000000
3127,225,33,74,9,0.000066,0.000000
3314,225,39,73,9,0.000068,0.000000
3378,226,17,70,4,0.000050,0.000000
3206,228,30,75,7,0.000059,0.000000
3172,229,39,75,9,0.000068,0.000000
3326,229,37,81,10,0.000073,0.000000
3375,230,36,68,10,0.000073,0.000000
3414,230,61,76,20,0.000114,0.000000
3353,231,87,78,21,0.000116,0.000000
3272,233,83,72,21,0.000113,0.000000
3144,234,30,76,7,0.000060,0.000000
3147,237,39,78,9,0.000067,0.000000
3241,237,87,79,22,0.000114,0.000000
3405,237,37,71,10,0.000073,0.000000
3316,238,97,78,21,0.000114,0.000000
3415,240,37,83,10,0.000073,0.000000
3137,241,33,79,9,0.000069,0.000000
3221,241,24,78,6,0.000056,0.000000
3398,241,33,79,9,0.000067,0.000000
3139,242,34,78,9,0.000067,0.000000
3336,242,37,76,10,0.000070,0.000000
3198,243,112,73,22,0.000113,0.000000
3225,244,34,79,9,0.000068,0.000000
3345,244,37,77,10,0.000070,0.000000
3399,244,37,81,10,0.000071,0.000000
3211,245,33,75,9,0.000069,0.000000
3235,246,37,77,10,0.000073,0.000000
3396,246,74,81,20,0.000114,0.000000
3131,247,57,72,13,0.000084,0.000000
3216,247,17,84,5,0.000114,0.000000
3174,248,33,80,9,0.000070,0.000000
3372,248,33,76,9,0.000068,0.000000
3286,250,27,79,6,0.000055,0.000000
3324,250,39,79,9,0.000068,0.000000
3380,250,35,78,9,0.000074,0.000000
3370,253,32,82,8,0.000070,0.000000
3388,253,80,82,21,0.000114,0.000000
3394,253,21,81,6,0.000055,0.000000
3303,254,21,75,6,0.000056,0.000000
3342,254,37,83,10,0.000073,0.000000
3344,254,90,80,22,0.000114,0.000000
3098,255,48,78,11,0.000074,0.000000
3397,255,65,78,13,0.000084,0.000000
3155,256,17,86,5,0.000049,0.000000
3161,256,33,82,9,0.000067,0.000000
3088,257,39,79,9,0.000066,0.000000
3312,259,34,76,9,0.000070,0.000000
3352,261,34,80,9,0.000068,0.000000
3412,261,35,82,10,0.000073,0.000000
3141,266,57,79,13,0.000084,0.000000
3276,267,48,79,11,0.000076,0.000000
3255,269,31,75,9,0.000067,0.000000
3278,270,36,92,9,0.000073,0.000000
3281,270,98,86,20,0.000114,0.000000
3189,271,92,87,21,0.000116,0.000000
3095,273,33,87,9,0.000066,0.000000
3154,273,35,85,9,0.000072,0.000000
3076,275,33,81,8,0.000088,0.000000
3102,275,33,82,9,0.000068,0.000000
3132,275,33,82,9,0.000069,0.000000
3160,275,60,79,14,0.000084,0.000000
3410,275,37,86,10,0.000073,0.000000
3111,276,35,85,10,0.000072,0.000000
3232,276,37,82,10,0.000073,0.000000
3341,276,60,86,15,0.000094,0.000000
3108,277,34,88,9,0.000069,0.000000
3297,277,48,83,11,0.000079,0.000000
3126,278,37,85,10,0.000073,0.000000
3192,278,38,88,10,0.000079,0.000000
3260,278,37,85,10,0.000073,0.000000
3265,278,37,85,10,0.000072,0.000000
3200,279,33,85,9,0.000067,0.000000
3218,279,36,95,9,0.000114,0.000000
3361,279,78,89,17,0.000102,0.000000
3280,280,33,88,9,0.000070,0.000000
3269,281,37,85,10,0.000073,0.000000
3084,283,101,86,21,0.000110,0.000000
3219,285,21,84,6,0.000056,0.000000
3283,286,26,87,6,0.000061,0.000000
3315,286,52,95,16,0.000099,0.000000
3150,287,30,88,7,0.000061,0.000000
3282,290,90,96,20,0.000114,0.000000
3359,290,27,88,6,0.000056,0.000000
3366,290,37,82,10,0.000070,0.000000
3251,291,37,87,10,0.000073,0.000000
3214,294,32,91,7,0.000059,0.000000
3401,294,73,101,21,0.000115,0.000000
3354,295,73,81,16,0.000093,0.000000
3384,295,71,84,18,0.000114,0.000000
3261,297,76,97,21,0.000114,0.000000
3170,298,33,85,9,0.000068,0.000000
3207,300,33,93,9,0.000068,0.000000
3349,300,33,87,9,0.000067,0.000000
3418,300,33,87,9,0.000070,0.000000
3228,302,78,94,21,0.000117,0.000000
3356,304,83,95,21,0.000117,0.000000
3112,305,48,92,12,0.000078,0.000000
3226,305,75,103,21,0.000115,0.000000
3305,309,37,96,10,0.000071,0.000000
3382,310,86,106,21,0.000117,0.000000
3124,311,33,89,9,0.000067,0.000000
3153,312,30,93,7,0.000059,0.000000
3294,312,77,95,21,0.000116,0.000000
3250,314,34,95,9,0.000068,0.000000
3296,314,33,98,9,0.000115,0.000000
3167,315,58,92,15,0.000113,0.000000
3267,315,44,98,14,0.000091,0.000000
3175,316,33,95,9,0.000067,0.000000
3395,316,37,93,10,0.000074,0.000000
3360,317,33,101,9,0.000068,0.000000
3290,318,37,95,10,0.000073,0.000000
3177,320,88,94,20,0.000110,0.000000
3244,320,33,94,9,0.000070,0.000000
3300,320,67,95,17,0.000103,0.000000
3379,322,81,97,21,0.000114,0.000000
3318,326,32,87,9,0.000070,0.000000
3333,330,75,92,16,0.000094,0.000000
3329,334,34,102,9,0.000071,0.000000
3383,334,30,101,7,0.000062,0.000000
3248,337,18,90,5,0.000116,0.000000
3106,338,89,101,21,0.000114,0.000000
3332,339,99,100,22,0.000115,0.000000
3184,343,53,108,15,0.000091,0.000000
3322,343,33,104,9,0.000071,0.000000
3346,343,33,108,10,0.000075,0.000000
3138,346,33,107,9,0.000068,0.000000
3176,346,33,107,9,0.000069,0.000000
3364,346,33,107,9,0.000071,0.000000
3087,349,27,103,6,0.000055,0.000000
3201,349,57,95,13,0.000085,0.000000
3194,351,67,101,14,0.000117,0.000000
3266,355,106,111,21,0.000117,0.000000
3338,357,68,101,21,0.000117,0.000000
3308,361,88,107,21,0.000115,0.000000
3133,363,34,119,10,0.000073,0.000000
3159,363,37,105,10,0.000074,0.000000
3199,364,79,113,21,0.000115,0.000000
3417,366,38,113,11,0.000117,0.000000
3224,370,48,101,11,0.000077,0.000000
3367,370,33,105,9,0.000071,0.000000
3119,371,33,106,9,0.000068,0.000000
3381,374,90,105,20,0.000117,0.000000
3205,375,62,112,16,0.000095,0.000000
3181,376,33,106,9,0.000068,0.000000
3136,378,107,104,22,0.000114,0.000000
3083,379,33,114,9,0.000112,0.000000
3291,379,93,108,22,0.000117,0.000000
3157,382,63,106,15,0.000117,0.000000
3299,384,82,109,21,0.000117,0.000000
3143,385,46,114,11,0.000079,0.000000
3264,394,79,115,21,0.000116,0.000000
3373,394,77,116,21,0.000117,0.000000
3195,396,81,110,19,0.000112,0.000000
3113,407,45,110,11,0.000079,0.000000
3295,407,44,120,12,0.000083,0.000000
3328,408,46,120,11,0.000078,0.000000
3116,411,96,120,22,0.000116,0.000000
3115,426,46,124,11,0.000076,0.000000
3091,427,81,120,21,0.000113,0.000000
3109,428,30,125,7,0.000113,0.000000
3246,431,94,118,21,0.000118,0.000000
3202,436,75,134,20,0.000133,0.000000
3392,436,88,125,21,0.000116,0.000000
3183,437,81,131,21,0.000121,0.000000
3187,451,87,127,21,0.000115,0.000000
3320,455,83,134,21,0.000122,0.000000
3081,458,67,121,17,0.000097,0.000000
3213,465,70,125,15,0.000092,0.000000
3262,465,37,129,10,0.000080,0.000000
3085,469,112,119,22,0.000112,0.000000
3152,471,101,128,21,0.000118,0.000000
3279,473,37,131,10,0.000081,0.000000
3393,478,95,136,21,0.000121,0.000000
3343,483,75,157,22,0.000122,0.000000
3180,486,35,134,8,0.000121,0.000000
3165,488,93,129,22,0.000120,0.000000
3193,490,86,139,17,0.000109,0.000000
3337,492,100,129,22,0.000122,0.000000
3284,498,74,150,21,0.000162,0.000000
3390,498,29,138,9,0.000071,0.000000
3110,508,91,143,21,0.000119,0.000000
3334,513,46,144,11,0.000084,0.000000
3209,521,110,135,21,0.000121,0.000000
3237,521,25,146,9,0.000081,0.000000
3287,522,112,137,21,0.000130,0.000000
3311,522,74,141,21,0.000122,0.000000
3298,524,82,150,21,0.000163,0.000000
3351,524,63,146,16,0.000104,0.000000
3217,533,94,144,22,0.000122,0.000000
3273,533,99,130,20,0.000122,0.000000
3212,535,115,137,21,0.000121,0.000000
3331,535,84,147,21,0.000122,0.000000
3243,548,73,165,16,0.000105,0.000000
3245,548,106,141,21,0.000121,0.000000
3302,548,101,146,21,0.000163,0.000000
3409,561,70,155,20,0.000122,0.000000
3090,585,98,149,21,0.000118,0.000000
3411,588,89,162,22,0.000122,0.000000
3196,606,39,159,14,0.000098,0.000000
3129,608,92,164,21,0.000161,0.000000
3389,609,65,162,17,0.000110,0.000000
3190,610,80,174,21,0.000163,0.000000
3204,648,84,172,21,0.000166,0.000000
3288,653,90,175,21,0.000166,0.000000
3151,694,67,185,20,0.000162,0.000000
3330,722,28,162,6,0.000064,0.000000
3169,732,87,194,21,0.000131,0.000000
3285,738,79,183,22,0.000163,0.000000
3178,751,79,209,20,0.000164,0.000000
3140,831,90,222,21,0.000164,0.000000
3142,856,52,214,19,0.000133,0.000000
